default,Identifier,Remarks,hu,it,es esm
"IT'S BEEN 14 YEARS SINCE THE END OF THE FIRST GREZZO 2.

GREZZO 2 GOT AS BIG AS A KID, YOU DIDN'T.

IN THE MEANTIME THE WORLD HAS GONE COMPLETELY TO SHIT:
IT DIDN'T DO ANY FUCKING GOOD TO GUT EVERYONE AT YOUR GRANDPARENTS'  
SILVER WEDDING, BEING HOOKED ON PILLS AND IMPREGNATE THE HOLY MARY 
ONCE MORE, NO, PEOPLE ARE GETTING DUMBER AND DUMBER
AND DESERVE LESS AND LESS TO LIVE, SO MUCH SO THAT YOU DON'T GIVE
A SWEET FLYING FUCK!

THE WORLD CAN EXPLODE: EVER SINCE YOU'VE SHAVED, PUMPED YOURSELF UP
AND HAVE BECOME BLONDE AND COOL, YOU STARTED FUCKING, SNIFFING
AND DOING DRUGS LIKE A FAT FIEND AND YOU'RE ON TOP!

HIGH ON BOTOX, STEROIDS, TENNENTS, PUSSY AND COKE, IT'S BEEN 10
YEARS SINCE YOU'VE BEEN OUT OF THE HOUSE, AND YOU'VE DONE GREAT,
BECAUSE YOU HAVEN'T MISSED ANYTHING AND YOU DESERVE IT!

EVERYONE HAS TO EAT YOUR SHIT AND SUCK YOUR DICK!",PG_CLUSTER1_EXIT,"""hu"" è PERUGINO","EN PASSATI 14 ANNI DALLA FINE DEL PRIMO GREZZO 2

GREZZO 2 E' DIVENTETO GROSSO COME N FREGHINO, TU NO.

L MONDO NEL FRATTEMPO E' GITO COMPLETAMENTE A PUTTANE:
NN E' SERVITO TA NIENTE SBUDELLA' TA TUTTI A LE NOZZE D'ARGENTO
DEI TU NONNI, ARMANECCE SOTTO TA NA PASTICCA E ARMETTE NCINTA
LA MADONNA N'ALTRA VOLTA, NO, LA GENTE E' SEMPRE PIU' TONTA 
E SE MERITA SEMPRE MENO DE VIVE, COSI' TANTO CHE  NN TE NE FREGA PIU
DIRETTAMENTE N CAZZO

L MONDO CREPASSE: DA QUANDO TE SE' FATTO LA BARBA, TE SEI POMPATO
E SE' DIVENTETO BIONDO E BONO POI, E' COMINCIATO A SCOPA', A PIPPA'
E A DROGATTE COME N CIGNALE, STAI AL TOP!

STRAFATTO DE BOTULINO, STEROIDI, TENNENTS, FICA E BAMBA, SO' DIEC'ANNI
CHE NNE SCAPPI DE CASA E HAI FATTO BENISSIMO PERCHE' NN TE SEI PERSO
N CAZZO E TE LO MERITI.

TUTTI DEVONO MAGNA' LA TU MERDA E POCCIATTE LA FAVA!","SONO PASSATI 14 ANNI DALLA FINE DEL PRIMO GREZZO 2.

GREZZO 2 E' DIVENTATO GROSSO COME UN RAGAZZINO, TU NO.

IL MONDO NEL FRATTEMPO E' ANDATO COMPLETAMENTE A PUTTANE:
NON E' SERVITO A UN CAZZO SBUDELLARE TUTTI ALLE NOZZE D ARGENTO
DEI TUOI NONNI, RIMANERCI SOTTO A UNA PASTICCA E RIMETTERE INCINTA
LA MADONNA UN'ALTRA VOLTA, NO, LA GENTE E' SEMPRE PIU' TONTA
E SI MERITA SEMPRE MENO DI VIVERE, COSI' TANTO CHE NON TE NE FREGA PIU'
DIRETTAMENTE UN CAZZO!

IL MONDO CREPASSE: DA QUANDO TI SEI FATO LA BARBA, TI SEI POMPATO
E SEI DIVENTATO BIONDO E FICO POI, HAI COMINCIATO A SCOPARE, A PIPPARE
E A DROGARTI COME UN CINGHIALE, STAI AL TOP!

STRAFATTO DI BOTULINO, STEROIDI, TENNENTS, PASSERA E BAMBA, SONO 10
ANNI CHE NON ESCI DI CASA E HAI FATTO BENISSIMO, PERCHE' NON TI SEI PERSO
NIENTE E TE LO MERITI!

TUTTI DEVONO MANGIARE LA TUA MERDA E SUCCHIARTI IL CAZZO!","HAN PASADO 14 AÑOS DESDE EL FINAL DEL PRIMER GREZZO 2.

GREZZO 2 SE VOLVIÓ GRANDE CÓMO UN CHICO, TÚ NO.

EL MUNDO MIENTRAS TANTO SE HA IDO COMPLETAMENTE A TOMAR POR CULO:
NO HA SERVIDO A UN CARAJO DESTRIPAR TODOS A LA BODA DE PLATA
DE TUS ABUELOS, QUEMARTE CON UNA PASTILLA Y PREÑAR
A LA VÍRGEN OTRA VEZ, NO, LA GENTE ESTÁ SIEMPRE MÁS TONTA
Y MERECE SIEMPRE MENOS VIVÍR, TANTO QUE YA TE IMPORTA
DIRECTAMENTE UNA MIERDA!

EL MUNDO QUE SE JODA: DESDE QUE TE HAS HECHO LA BARBA, TE HAS CICLADO
Y TE HAS VUELTO RUBIO Y GUAY, HAS EMPEZADO A FOLLAR, A ESNIFÁR
Y A DROGARTE CÓMO UN JABALÌ, ESTÁS A TOPE!

CIEGO DE BOTULINA, ESTEROIDES, TENNENTS, COÑO Y COCA, HACEN 10
AÑOS QUE NO SALES DE CASA Y HAS HECHO MUY BIEN, PORQUÉ NO TE 
HAS PERDIDO NADA Y TE LO MERECES!

TODOS TIENEN QUE COMERSE TU MIERDA Y CHUPARTE LA POLLA!"
"HOLY CRAP WHAT A MESS!
 
YOU TRIED TO LEAVE THE HOUSE FOR A SECOND BUT EVERYWHERE ON THE
STREETS THERE ARE ASSHOLES AND MONGOLOIDS BECAUSE UMBRIA JAZZ
STARTED, BLOODY HELL! 








YOUR ASS STILL HURTS SO MUCH, YOU SPLATTER BLOOD AND SHIT WHENEVER
YOU LAUGH OR COUGH  AND YOU SHOULD RUN TO THE PHARMACY BUT YOU
CAN'T GET OUT AND BE SOBER TOO. 

YOU HAVE TO GET HIGH ON HARD DRUGS TO SURVIVE THIS SHIT SHOW 
AND IT'S A GOOD THING YOU'RE IN THE RIGHT PLACE! 
HAVE FUN IN PERUGIA, SMASH EVERYTHING AND NEVER COME BACK TO SEE
US EVER AGAIN!",PG_CLUSTER2_EXIT,,"MAIAL CHE CASINO!

E' PROVETO A SCAPPI' DE CASA N ATTIMO E LE STRADE EN PIENE DE TONTI,
DE COGLIONI E DE MONGOLOIDI PERCHE' E' COMINCIATA UMBRIA JAZZ,
CHE SEGA!






TE DOLE ANCORA TANTISSIMO L CULO, SCHIZZI SANGUE E MERDA QUANDO TE
VIENE DA RIDE O TOSSISCI E DEVI GI' N FARMACIA DE CORSA MA NN GLIELA FE'
A ARMANE' N GIRO SOBRIO:

TE DEVI DROGA' FORTE PER SOPRAVVIVE A STO TROIAIO E PER FORTUNA CHE
SEI NEL POSTO GIUSTO! DIVERTETE A PERUGIA, SPACCA TUTTO E NON TORNA'
A TROVACCE MAI PIU'!","PORCAPUTTANA CHE DISASTRO!

HAI PROVATO A USCIRE DI CASA UN SECONDO E LE STRADE SONO PIENE DI
COGLIONI E DI MONGOLOIDI PERCHE' E' COMINCIATA UMBRIA JAZZ, CHE SEGA!








IL CULO TI FA ANCORA MALE TANTISSIMO, SCHIZZI SANGUE E MERDA QUANDO
TI VIENE DA RIDERE O TOSSISCI E DEVI ANDARE IN FARMACIA DI CORSA MA NON
RIESCI A RESTARE IN GIRO SOBRIO.

DEVI DROGARTI FORTISSIMO PER SOPRAVVIVERE A QUESTO TROIAIO E MENO
MALE CHE SEI NEL POSTO GIUSTO! DIVERTITI A PERUGIA, SPACCA TUTTO E NON
TORNARE A TROVARCI MAI PIU'!","MECAGOENLAPUTA QUE DESASTRE!

HAS INTENTADO SALIR DE CASA UN SEGUNDO Y LAS CALLES ESTÁN LLENAS DE
GILIPOLLAS Y MONGOLOIDES PORQUÉ HA EMPEZADO UMBRIA JAZZ, 
QUE COÑAZO!






EL CULO TE DUELE TODAVIA MUCHÍSIMO, BROTAS SANGRE Y MIERDA CUANDO
TE SALE LA RISA O TOSES Y TIENES QUE IR A LA FARMACIA CORRIENDO 
PERO NO CONSIGUES A QUEDARTE EN LA CALLE SOBRIO.

TIENES QUE DROGARTE DE MALA MANERA POR SOBREVIVIR A ESTE PUTERÍO 
Y MENOS MAL QUE ESTÁS EN EL SITIO JUSTO! DIVIERTETE A PERUGIA, 
ROMPELO TODO Y NO VUELVAS A VERNOS NUNCA JAMÁS!"
"FOR THAT SLUT OF THE HOLY MOTHER WHAT THE FUCK HAPPENED!














YOU BLEW UP INTO BITS AT THE KARAOKE! IT MUST HAVE BEEN ALL THAT JUNK
FOOD YOU ATE! LUCKILY THE DOCTORS PLACED YOU IN AN AMBULANCE AND TOOK
YOU TO THE SILVESTRINI HOSPITAL, WHERE THEY SEW YOU UP LIKE A
CAPOCOLLO! 

BUT NOW THEY WANT THE CO-PAY MONEY AND YOU DON'T WANT TO GIVE IT TO
THEM, SO LET'S SAY THERE'S A MISUNDERSTANDING THAT'S GOING TO END UP
VERY BADLY.",PG_CLUSTER3_EXIT,,"












MADONNA PUTTANA MA CHE CAZZ E' SUCCESSO! SE' SCHIOPPETO PER ARIA
AL KARAOKE! SICURO DEVONO ESSE STATE TUTTE QUELE MERENDINE CHE HAI
MAGNATO, FORTUNA I DOTTORI CHE T ONNO CARCHETO TA N AMBULANZA E
PORTETO AL SILVESTRINI, DUA T ONNO ARCUCITO COME N CAPOCOLLO!

MA ADESSO ARVOGLIONO I SOLDI DEL TICKET E TU NN GLIELI VOI DA',
QUINDI S'E' CREATO N ATTIMO N MISUNDERSTANDING CHE GIRA' A FINI'
MALISSIMO.","












MADONNA PUTTANA MA COSA CAZZO E' SUCCESSO! SEI SALTATO PER ARIA AL
KARAOKE! SICURO DEVONO ESSERE STATE TUTTE QUELLE MERENDINE CHE TI
SEI MAGNATO, FORTUNA I DOTTORI CHE TI HANNO CARICATO SU UN'AMBULANZA
E PORTATO ALL OSPEDALE SILVESTRINI, DOVE TI HANNO RICUCITO COME UN
CAPOCOLLO!

MA ADESSO RIVOGLIONO I SOLDI DEL TICKET E TU NON GLIELI VUOI DARE:
QUINDI SI E' CREATO UN ATTIMO UN MISUNDERSTANDING CHE ANDRA' A FINIRE
SICURO MALISSIMO.","











MECAGOENLAVIRGEN QUE HA PASADO! HAS VOLADO POR LOS AIRES EN EL
KARAOKE! SEGFURO TIENEN QUE SER TODOS LOS BOLLOS QUE TE HAS COMIDO, 
SUERTE QUE LOS MEDICOS TE HAN CARGADO EN UNA AMBULANCIA
Y LLEVADO AL HOSPITAL SILVESTRINI, DONDE TE HAN VUELTO A COSER CÓMO
UNA CAPICOLA!

PERO AHORA QUIEREN EL DINERO DEL COPAGO Y TÚ NO SE LO QUIERES DAR:
ENTONCES SE HA CREADO UNA PEQUEÑA INCOMPRENSION QUE ACABARÁ
MALÍSIMO SEGURO."
"BUT HOW FUCKING STUPID ARE YOU?!














YOU'VE BEEN IN THE HOSPITAL UNTIL NOW AND YOU HAVEN'T TAKEN ANYTHING
TO TREAT YOUR HEMORRHOIDS, NOT EVEN AN OINTMENT, NOTHING!

APPLAUD YOURSELF SCUMBAG, NOW YOUR ASS HURTS AGAIN AND YOU HAVE TO
GO BACK TO THE PHARMACY IN DOWNTOWN PERUGIA WHILE THERE IS ALSO
EUROCHOCOLATE, DAMN IT! THE STREETS ARE FULL OF ASSHOLES WITH
STROLLERS, RUN THEM ALL OVER FOR FUCK'S SAKE!",PG_CLUSTER4_EXIT,,"MA QUANTO CAZZO SE' COGLIONE













SE' STATO AL OSPIDELE FINO ADE' E NN E' PRESO N CAZZO PER CURATTE
LE EMORROIDI, MANCO NA POMATA, NIENTE!

BRAVO L TONTO, ADE' TE ARDOLE L CULO N ALTRA VOLTA E DEVI ARGI' N
FARMACIA N CENTRO E C'E' ANCHE EUROCHOCOLATE CHE SEGA LE STRADE EN
PIENE DE STRONZI E DE PASSEGGINI CHIAPPELI SOTTO TUTTI DIO CANE!","MA QUANTO CAZZO SEI COGLIONE!














SEI STATO IN OSPEDALE FINORA E NON HAI PRESO NIENTE PER CURARTI LE
EMORROIDI, NEANCHE UNA POMATA, NIENTE!

BRAVO IL TONTO, ADESSO TI FA' MALE IL CULO UN'ALTRA VOLTA E DEVI TORNARE
IN FARMACIA IN CENTRO A PERUGIA E C'E' ANCHE EUROCHOCOLATE CHE SEGA!
LE STRADE SONO PIENE DI STRONZI COI PASSEGGINI, PRENDILI SOTTO TUTTI
DIOCANE!","PERO QUE TONTO DEL CULO ERES!











HAS ESTADO EN EL HOSPITAL HASTA AHORA Y NO HAS TOMADO NADA PARA 
CURARTE LAS HEMORROIDES, NI SIQUIERA UNA POMADA, NADA!

GENIAL GILIPOLLAS, AHORA TE DUELE EL CULO OTRA VEZ Y TIENES QUE 
VOLVER A LA FARMACIA EN EL CENTRO DE PERUGIA Y TAMBIEN ESTÁ 
EUROCHOCOLATE QUE COÑAZO!
LAS CALLES ESTÁN LLENAS DE CAPULLOS CON COCHECITOS, 
ATROPELLALOS A TODOS
ME CAGO EN DIOS!"
"NOW THAT YOU ARE FREE FROM HEMORRHOIDS, YOU ARE READY TO 
EXPERIENCE A MAGICAL CHRISTMAS! 








WHO THE FUCK IS THIS REDHEAD OLD COCK-HUNGRY BITCH AND WHERE HAVE
YOU FOUND HER, AT THE BINGO? 

YOUR ASS HURTS LESS BUT YOU HAD ALREADY ENOUGH OF CHRISTMAS AND
YOU'VE DECIDED TO GIVE YOURSELF A PRESENT AT LAST: A REAL TRIP
OUT OF THIS SHITTY CITY AND MAGGOT INFESTED PLANET! YOU'VE JOINED
THE SPACE ROTARY CLUB AND YOU'RE READYTO STEAL THE SHUTTLE PARKED
AT CARDUCCI GARDENS!
 
THEY ALL CAN GO FUCK THEMSELVES TO EARTH, IT'S TIME TO GET THE
FUCKING FUCK OUT OF HERE FOREVER!",PG_CLUSTER5_EXIT,,"ADESSO CHE SE' GUARITO DALLE MORROIDI SEI PRONTO A VIVE
UN MAGICO NATALE!







CHI CAZZO E' STA VECCHIACCIA ROSCIA MORTA DE CAZZO E DO L'HAI
ARMEDIATA, AL BINGO?

L CULO TE FA' MENO MALE MA TE SE' GIA' ROTTO L CAZZO DEL NATALE E HAI
DECISO DE FATTE N REGALO, FINALMENTE:
N VIAGGIO VERO FORI DA STA CITTA' DE MERDA E DA STO PIANETA DEMMERDA!
TE SE' ISCRITTO AL ROTARY CLUB SPAZIALE E SE' PRONTO PER INCULA' LO
SHUTTLE PARCHEGGIETO FORI AI GIARDINI CARDUCCI!
GISSERO TUTTI AFFANCULO SULLA TERRA, E' ORA DE CAVASSE DAI COGLIONI
PER SEMPRE!","ADESSO CHE SEI GUARITO DALLE EMORROIDI SEI PRONTO A VIVERE
UN MAGICO NATALE!








CHI CAZZO E' STA VECCHIACCIA ROSCIA MORTA DI CAZZO E DOVE L'HAI
RIMEDIATA, AL BINGO?

IL CULO TI FA MENO MALE MA TI SEI GIA' ROTTO IL CAZZO DEL NATALE
E HAI DECISO DI FARTI UN REGALO FINALMENTE:
UN VIAGGIO VERO FUORI DA STA' CITTA DI MERDA E DA STO PIANETA
DI MERDA! TI SEI ISCRITTO AL ROTARY CLUB SPAZIALE E SEI PRONTO
PER RUBARE LO SHUTTLE PARCHEGGIATO AI GIARDINI CARDUCCI!
ANDASSERO TUTTI A FARE IN CULO SULLA TERRA, E' ORA DI TOGLIERSI
DALLE PALLE PER SEMPRE!","AHORA QUE TE HAS CURADO LAS HEMORROIDES ESTÁS LISTO PARA VIVÍR
UNA MAGICA NAVIDAD!










QUIEN COÑO ES ESTA VIEJUNA PELIRROJA CON HAMBRES DE POLLA 
Y DONDE LA HAS RECOGIDO, AL BINGO?

EL CULO TE DUELE MENOS PERO YA ESTÁ HASTA LOS COJONES DE LA NAVIDAD
Y HAS DECIDIDO HACERTE UN REGALO POR FÍN:
UN VERDADERO VIAJE FUERA DE ESTA CIUDAD DE MIERDA Y DE ESTE PLANETA
DE MIERDA! TE HAS APUNTADO AL ROTARY CLUB ESPACIAL Y ESTÁS LISTO
PARA ROBAR EL SHUTTLE APARCADO EN LOS JARDINES CARDUCCI!
SE FUERAN TODOS A TOMAR POR CULO EN LA TIERRA, ES HORA DE QUITARSE
DE LOS HUEVOS PARA SIEMPRE!"
,,,,,
,,,,,
YOU FORGOT WHERE YOU LEFT THE KEY TO THE STORAGE CLOSET,PG_CASA_HM1,,NN T'ARCORDI DUA E' MISSO LA CHIAVE DE LO SGABUZZINO!,NON TI RICORDI DOVE HAI MESSO LA CHIAVE DELLO SGABUZZINO!,NO RECUERDAS DONDE HAS METIDO LA LLAVE DEL TRASTERO!
"BEFORE GOING OUT THE HOUSE, YOU MUST TAKE A SHIT!",PG_CASA_HM2,,PRIMA DE SCAPPI' DE CASA DEVI GI' A CACA'!,PRIMA DI USCIRE DI CASA DEVI CAGARE.,ANTES DE SALIR DE CASA TIENES QUE CAGAR.
- GO POTTY BEFORE GOING OUT.,PG_CASA_HM3,,- VA' AL CESSO PRIMA DE SCAPPA' DE CASA.,- VAI AL CESSO PRIMA DI USCIRE,- VES AL CAGADERO ANTES DE SALIR
