default,Identifier,Remarks,hu,it,es esm
"DID YOU UNDERSTAND WHAT THE FUCK HAPPENED? WE DIDN'T EITHER!

YOU WERE BROUGHT BACK TO LIFE BY FORCE, BADLY REINCARNATED 
IN THE FUTURE, IN THIS SPACESHIP FULL OF BUTT FUCKING FAGGOT PRIESTS!

IT HAD TO HAPPEN AND IT'S ABOUT TIME! THE FUTURE IS SHIT. EVERYTHING
ON EARTH WENT DOWNHILL FOREVER, PEOPLE DON'T
UNDERSTAND SHIT ANYMORE AND THE SMARTEST, RICHEST, AND THE WORST
MOTHERFUCKERS FLEW OFF INTO SPACE IN THEIR FUCKING SPACESHIPS,
AFTER THEY DOOMED AND SOLD THE PLANET TO MIND THEIR
OWN FUCKING BUSINESS AND SHIT ON OUR HEADS ALL THE TIME!

BUT THANKFULLY YOU'RE BACK NOW, THESE NUMB-FUCKS 
THOUGHT THEY HAD EVERYTHING UNDER CONTROL, BUT INSTEAD EVERY
ERA CHANGES INTO THE OPPOSITE OF THE PREVIOUS ONE AND NOW
THAT OPPOSITE IS YOU AND YOU'RE LOCKED IN HERE WITH ALL OF THEM,
PISSED OFF LIKE A REAL MOTHERFUCKER!

KILL THEM ALL, EXTERMINATE THEM, SLY THEM ALL ALONG WITH THOSE
OTHER UGLY AND BASTARD ALIEN COPYCATS AND CRASH THIS SHITTY 
SPACESHIP BACK TO EARTH!",ST_CLUSTER10_EXIT,,"E' CAPITO CHE CAZZ'E' SUCCESSO?? MANCO NOI!

SE' TORNATO 'N VITA PER FORZA, REINCARNATO A CAZZO DE CANE
NEL FUTURO, DENTRO A STA NAVE SPAZIALE PIENA DE PRETI ROTTINCULI!

DOVEVA SUCCEDE E ERA ORA! IL FUTURO FA CACA'. TUTTO SULLA TERRA
E' ANDATO A PUTTANE, LA GENTE NON CAPISCE PIU' N CAZZO E I PIU'
FURBI, I RICCHI E GLI STRONZI SO' VOLATI NELLO SPAZIO CON LE LORO
ASTRONAVI DEL CAZZO, DOPO CHE HAN FATTO DIVENTA' L MONDO N TROIAIO
PER FASSE I CAZZACCI LORO E CACACCE N TESTA TUTTO L TEMPO!

MA FORTUNA CHE ADESSO SE' TORNATO TU, STI FIGLI DI PUTTANA PENSAVANO
DE AVE' TUTT SOTT CONTROLLO, MA 'NVECE OGNI EPOCA GENERA L CONTRARIO
DE QUELLA PRECEDENTE E ADESSO QUEL CONTRARIO SE' TU E SE' CHIUSO DI
QUI DENTRO CON TUTTI LORO, INCAZZETO NERO!

AMAZZELI TUTTI, STERMINELI, FALLI TUTTI SECCHI INSIEME A QUEGLI ALTRI
ALIENI BRUTTI FATTI MALE E FAI SCHIANTA' ST'ASTRONAVE DEMMERDA SU LA
TERRA!","HAI CAPITO CHE CAZZO E' SUCCESSO?? NEANCHE NOI!

SEI TORNATO IN VITA PER FORZA, REINCARNATO A CAZZO DI CANE 
NEL FUTURO, DENTRO A STA NAVE SPAZIALE PIENA DE PRETI
ROTTINCULI!

DOVEVA SUCCEDERE ED ERA ORA! IL FUTURO FA' CAGARE. TUTTO
SULLA TERRA E' ANDATO A PUTTANE PER SEMPRE, LA GENTE NON
CAPISCE PIU' UN CAZZO E I PIU' FURBI, I PIU' RICCHI E I PIU' STRONZI
SON VOLATI NELLO SPAZIO CON LE LORO ASTRONAVI DEL CAZZO,
DOPO CHE HAN CONDANNATO E VENDUTO IL PIANETA PER FARSI
I CAZZACCI LORO E CACARCI IN TESTA TUTTO IL TEMPO!

MA PER FORTUNA ADESSO SEI TORNATO TU, STI FIGLI DI PUTTANA 
PENSAVANO DI AVERE TUTTO SOTTO CONTROLLO, MA INVECE OGNI
EPOCA GENERA IL CONTRARIO DI QUELLA PRECEDENTE E ADESSO
QUEL CONTRARIO SEI TU E SEI CHIUSO QUI DENTRO CON TUTTI LORO,
INCAZZATO NERO!

AMMAZALI TUTTI, STERMINALI, FALLI SECCHI TUTTI INSIEME A QUEGLI
ALTRI ALIENI BRUTTI FATTI MALE E FAI SCHIANTARE ST'ASTRONAVE
DI MERDA DI NUOVO SULLA TERRA!","HAS ENTENDIDO QUE COÑO HA PASADO?? NOSOTROS TAMPOCO!

HAS VUELTO A LA VIDA A LA FUERZA, REINCARNADO DE PUTA CASUALIDAD
EN EL FUTURO, DENTRO DE UNA NAVE ESPACIAL LLENA DE CURAS
CHAPEROS!

TENÍA QUE PASAR Y TENÍA QUE SER AHORA!EL FUTURO ES UNA MIERDA. TODO
SOBRE LA TIERRA SE HA IDO A TOMAR POR CULO PARA SIEMPRE, LA GENTE YA NO
ENTIENDE UNA MIERDA Y LOS MÁS LISTOS, LOS MAS RICOS Y LOS MÁS
CAPULLOS HAN VOLADO AL ESPACIO CON SUS NAVES ESPACIALES DEL CARAJO,
DESPUÉS DE HABER CONDENADO Y VENDIDO EL PLANETA PARA OCUPARSE
DE SUS PUTOS ASUNTOS Y CAGARNOS ENCIMA TODO EL TIEMPO!

PERO POR SUERTE AHORA HAS VUELTO TÚ, ESOS HIJOS DE PUTA 
PENSABAN DE TENER TODO BAJO CONTROL, PERO CADA
EPOCA GENERA LO OPUESTO DE LA PRECEDENTE Y AHORA
AQUEL AQUEL OPUESTO ERES TU Y ESTÁS ENCERRADO AQUÍ DENTRO 
CON TODOS ELLOS, CABREADO CÓMO NUNCA!

MATALOS A TODOS, EXTERMINALOS, HAZLOS FIAMBRE TODOS, JUNTO A ESOS
OTROS ALIENÍGENAS FEOS Y MALHECHOS Y ESTRELLA ESTA PUTA NAVE 
ESPACIAL SOBRE LA TIERRA DE VUELTA!"
"THAT GIANT CATERPILLAR LARVA VIRGIN MARY BITCH TRANSFORMED INTO A
GIANT WASP!

BLOODY DISGUSTING! THE ENORMOUS SPACE BUGS GIVE POWER TO THE 
EARTHLINGS' SPACESHIPS, SO IF YOU CAN CRUSH FOREVER THE VIRGIN
MARY BITCH WASP SURE THIS SHITTY SPACESHIP WILL CRASH ON EARTH!

GET IT OVER WITH AND GUT IT EVERYONE AND EVERYTHING!",ST_CLUSTER11_EXIT,,"LA MADONNACCIA BRUCO O L CAZZO CHE ERA S'E' TRASFORMETA
E E' DIVENTETA NA MEGA VESPONA GIGANTE!

CHE SCHIFO,I BUCAIONI SPAZIALI GIGANTI DONNO LA CORRENTE
TA LE ASTRONAVI DEI TERRESTRI E QUINDI SE RIESCI A SCHIACCIA'
LA MADONNA VESPA GIGANTE SICURO STA NAVE SPAZIALE
DEMMERDA SE SCHIANTERA' TA LA TERRA CAZZO!

DAJE GIU' FORTE E SBUDELLA TUTTO!","QUELLA MADONNACCIA BRUCO LARVA GIGANTE SI E'
TRASFORMATA ED E' DIVENTATA UNA VESPONA GIGANTE!

CHE SCHIFO! I MEGA INSETTI SPAZIALI DANNO ENERGIA ALLE
ASTRONAVI DEI TERRESTRI, QUINDI SE RIESCI A SCHIACCIARE
LA MADONNACCIA VESPA PER SEMPRE SICURO ST'ASTRONAVE
DE MERDA SI SCHIANTERA' SULLA TERRA!

FALLA FINITA E SBUDELLA TUTTO!","ESA PUTAVIRGEN GUSANO LARVA GIGANTE SE HA
TRANSFORMADO Y SE HA VUELTO UN AVISPA GIGANTE!

QUE ASCO! LOS MEGA INSECTOS ESPACIALES DÁN ENERGIA A LAS
ASTRONAVES DE LOS TERRESTRES, ENTONCES SI ACABAS APLASTAR
 A LA PUTAVIRGEN AVISPA PARA SIEMPRE, LA PUTA NAVE ESPACIAL
DE MIERDA SE ESTRELLARÁ SEGURO SOBRE LA TIERRA!

DEJATE DE TONTERIAS Y DESTRIPALO TODO!"
"UNBELIEVABLE! YOU DON'T KNOW HOW YOU DID IT, YOU DON'T KNOW
WHAT HAPPENED, HALF THE WORLD BLEW UP IN THE AIR FOR REAL
AND YOU MANAGED TO SAVE YOURSELF BY DRIVING THIS
WORTHLESS JALOPY OUT OF THE FUCKING WAY! BRAVO!






IT'S ALL VERY NICE, BUT NOW THE GASOLINE IS
RUNNING OUT AND WE'RE ABOUT TO CRASH ON EARTH TOO
OURSELVES, ARE WE GOING TO MAKE IT OUT ALIVE?”",ST_CLUSTER12_EXIT,,"INCREDIBILE, NN SE SA' COME E' FATTO, NN SE SA' QUIL
CHE E' SUCCESSO, E' SCHIOPPATO PER ARIA MEZZO MONDO PER DAVERO E
TU SE' RIUSCITO A SALVATTE GUIDANDO ST'ATREZZO FORI DAI COGLIONI!
BRAVO!






TUTTO MOLTO BELLO, SOLO CHE ADESSO LA BENZINA E' FNITA E CE STAMO
A SCHIANTA' TA LA TERRA ANCHE NOIALTRI! GLIELA FAREMO A VIVE?","INCREDIBILE, NON SI SA' COME HAI FATTO, NON SI SA QUELLO
CHE E' SUCCESSO, E' ESPLOSO PER ARIA MEZZO MONDO PER
DAVVERO E TU SEI RIUSCITO A SALVARTI GUIDANDO STO
TRABICCOLO FUORI DAI COGLIONI! BRAVO!






TUTTO MOLTO BELLO, SOLO CHE ADESSO LA BENZINA STA
FINENDO E STIAMO PER SCHIANTARCI SULLA TERRA ANCHE
NOIALTRI, GLIELA FAREMO A VIVERE?","INCREIBLE, NO SE SABE CÓMO LO HAS HECHO, NO SE SABE LO QUE
HA PASADO, HA VOLADO MEDIO MUNDO POR LOS AIRES DE
VERDAD Y TÚ HAS CONSEGUIDO SALVARTE CONDUCIENDO ESTE
TRASTO A LA CONCHA DE TU MADRE! COJONUDO!






TODO MUY BONITO, SÓLO QUE AHORA LA GASOLINA ESTÁ
ACABANDO Y VAMOS A ESTRELLARNOS SOBRE LA TIERRA NOSOTROS
TAMBIÉN! CONSEGUIREMOS VIVIR?"
"FOR GODDAMN SHIT IT SEEMS ALL THE DINOSAURS OF THE WORLD
ESCAPED FROM CIRCUSES AND ZOOS AND GATHERED ALL TOGETHER
TODAY. RIGHT IN THIS MOMENT JUST TO ANNOY YOU AS MUCH AS POSSIBLE!

SOUTHERN ITALY HAS FILLED UP WITH FROLICKING DINOSAURS AND
TOXIC WASTE IN A SHORT TIME AND THIS IS NOW
A PROBLEM, A PROBLEM THAT YOU DON'T
YOU GIVE A RICH RAT'S ASS ABOUT!

DINOSAURS HAVE NEVER BEEN EXTINCT AND HAVE ALWAYS
LIVED AMONG THE SOUTHERNERS, PROTECTED BY THE MAFIA,
LOVED BY LOCAL PEOPLE AND THE LITTLE KIDS,
UNTIL YOU CAME ALONG AND PISSED THEM OFF.
YOU PISSED EVERYONE OFF AND EVEN INFECTED
THE INDIGENOUS WOMEN WITH TYPHUS, PERFECT!


FIND A WAY TO RUN HOME AND HURRY,
BEFORE EVERYONE KICKS YOUR ASS, THEY WOULD BE RIGHT TO DO SO!",ST_CLUSTER13_EXIT,,"MA DIOMAIALE, PARE CHE TUTTI I DINOSAURI SCAPPITI DAI CIRCHI E DAGLI
ZOO DEL MONDO S'ENNO RIUNITI TUTTI OGGI E TUTTI INSIEME PER DATTE NOIA!


L SUD ITALIA S'E' RIEMPITO DE DINOSAURI E DE RIFIUTI TOSSICI N BREVE
TEMPO E ADESSO STA COSA RAPPRESENTA N PROBLEMA,
N PROBLEMA DE CUI NN TE NE FREGA NA RICCA SEGA!


I DINOSAURI NN SE SO' MAI ESTINTI E HANNO SEMPRE VISSUTO IN MEZZO AI
TERRONI, PROTETTI DALLA MAFIA, AMATI DALLE POPOLAZIONI LOCALI E DAI
BAMBINI, FINCHE' NN S'E' ARRIVATO TU A ROMPE I COGLIONI, HAI FATTO
INCAZZA' TA TUTTI, E HAI PURE ATTACCATO L TIFO TA LE INDIGENE, A POSTO!



TROVA N MODO PER TORNA' A CASA ALLA SVELTA E SMOVETE, PRIMA CHE TUTTI
TE FACCIANO IL CULO E FACCIANO BENE!","MA DIOMAIALE SEMBRA CHE TUTTI I DINOSAURI DEL MONDO
SCAPPATI DAI CIRCHI E DAGLI ZOO SI SIANO RIUNITI TUTTI
OGGI TUTTI ADESSO PER DARTI NOIA IL PIU' POSSIBILE!

IL SUD ITALIA SI E' RIEMPITO DI DINOSAURI SCORAZZANTI E
DI RIFIUTI TOSSICI IN BREVE TEMPO E STA COSA ADESSO
RAPPRESENTA UN PROBLEMA, UN PROBLEMA DI CUI NON
TE NE FREGA UNA RICCA SEGA!

I DINOSAURI NON SI SONO MAI ESTINTI E HANNO SEMPRE
VISSUTO IN MEZZO AI TERRONI, PROTETTI DALLA MAFIA,
AMATI DALLE POPOLAZIONI LOCALI E DAI PIU' PICCOLI,
FINCHE' NON SEI ARRIVATO TU A ROMPERE I COGLIONI,
HAI FATTO INCAZZARE TUTTI E HAI PURE ATTACCATO IL
TIFO ALLE INDIGENE, PERFETTO!


TROVA UN MODO PER TORNARE A CASA DI CORSA E SBRIGATI,
PRIMA CHE TUTTI TI FACCIANO IL CULO E FACCIANO BENE!","ME CAGO EN EL CERDODEDIOS PARECE QUE TODOS LOS DINOSAUROS 
DEL MUNDO ESCAPADOS DE CIRCOS Y ZOOS SE HAYAN REUNIDO TODOS
HOY, TODOS AHORA PARA AGOBIARTE LO MÁS POSIBLE!

EL SUR DE ITALIA SE HA LLENADO DE DINOSAURIOS MALEANTES Y
RESIDUOS TOXICOS MUY RAPIDAMENTE Y ESO AHORA
REPRESENTA UN PROBLEMA, UN PROBLEMA DEL QUE NO
TE IMPORTA UNA PUTA MIERDA!

LOS DINOSAURIOS NUNCA SE HAN EXTINTO Y SIEMPRE HAN
VIVIDO CON LOS SUREÑOS, PROGIDOS POR LA MAFIA,
AMADOS POR LA POBLACIÓN LOCAL Y POR LOS MÁS PEQUES ,
HASTA QUE NO HAS LLEGADO TÚ A TOCAR LOS HUEVOS,
HAS CABREADO A TODO EL MUNDO Y ENCIMA HAS INFECTADO CON 
EL TIFUS A LAS INDIGENAS, PERFECTO!


ENCUENTRA UNA FORMA DE VOLVER A CASA CORRIENDO Y APURA,
ANTES DE QUE TODOS TE ABRAN EL CULO, Y HARÍAN BIEN!"
"NOOO THAT SUCKS THE ONLY BUS THAT WAS THERE IS FILLED WITH
MORONS GOING ON PILGRIMAGE TO ASSISI,
FUCK ME WITH A LAWNMOWER!






(HOW FAST IS THIS BUS GOING BY THE WAY?
HELP!)


AS YOU SIT IN YOUR SEAT AND TRY TO FALL ASLEEP
WITHOUT KILLING ANYONE FOR ONCE, BECAUSE YOU WANT TO
DO SOMETHING DIFFERENT, THAT'S EXACTLY WHEN GIGIONE STARTS
PLAYING HIS SHITTY SONGS IN THE OTHER SECTION,
YOU WAKE UP AND YOU IMMEDIATELY START ANOTHER MASSACRE YAY!",ST_CLUSTER14_EXIT,,"NOOO CHE PALLE L UNICO PULMAN CHE C'ERA
E' PIENO DE TONTI CHE VONNO N PELLEGRINAGGIO A ASSISI,
CHE SEGA!







(QUANTO STA A GI' FORTE ST PULMAN TRA L'ALTRO? AIUTO!)


MENTRE TE SIEDI AL TU POSTO E CERCHI DE ADORMENTATTE SENZA
AMAZZA' TA NISSUNO PE NA VOLTA, PERCHE' VOI FA' QUALCOSA
DE DIVERSO, ECCO CHE GIGIONE NCOMINCIA A SONA' LE SU CANZONI
DE MERDA, TE SVEGLIA ED E' SUBITO N ALTRO MASSACRO EVVAI!","NOOO CHE PALLE L UNICO PULMAN CHE C'ERA E' PIENO DI
TONTI CHE VANNO IN PELLEGRINAGGIO AD ASSISI,
CHE SEGA!






(QUANTO STA ANDANDO FORTE STO PULMAN TRA L ALTRO?
AIUTO!)


MENTRE TI SIEDI AL TUO POSTO E CERCHI DI ADDORMENTARTI
SENZA UCCIDERE NESSUNO PER UNA VOLTA, PERCHE' VUOI
FARE QUALCOSA DI DIVERSO, ECCO CHE GIGIONE INCOMINCIA
A SUONARE LE SUO CANZONI DI MERDA NELL'ALTRO VAGONE,
TI SVEGLI E COMINCIA SUBITO UN ALTRO MASSACRO EVVAI!","NOOO QUE COJONES, EL ÚNICO AUTOBÚS QUE HAY ESTÁ LLENO DE
MONJAS QUE SE VAN DE PEREGRINAJE  A ASÍS,
QUE COÑAZO!






(QUE RÁPIDO ESTÁ YENDO ESTE BUS ENTRE OTRAS COSAS?
AYUDA!)


MIENTRAS TE SIENTAS EN TU SITIO INTENTANDO DORMIRTE
SIN MATAR A NADIE POR UNA VEZ, PORQUE QUIERES
HACER ALGO DIFERENTE, AHÍ GIGIONE EMPIEZA
A TOCAR SUS CANCIONES DE MIERDA EN EL OTRO VAGÓN,
TE DESPIERTAS Y COMIENZA OTRA MASACRE, DALE!"
"AND INSTEAD THERE IS A SURPRISE WAITING FOR US: THE NUNS' BUS HAS
ARRIVED TO ASSISI, BUT THERE ARE PEOPLE FUCKING IN THE STREETS AND
ON THE GROUND, MATING LIKE BEASTS ASS FUCKING EACH OTHER!
WHAT A HELLISH WHOREHOUSE! AND WHO GIVES A FUCK?!

IT COULD ALL BE VERY NICE, BUT IT'S NOT:
NOBODY KNOWS ANYMORE WHO THE FUCK IS INSIDE THIS TRAVESTY AND
WHO LIKES WHAT. EVERYBODY HATES YOU BECAUSE
YOU'RE THE MOST ORDINARY ONE HERE!

ALL THESE MODERN DICKWEED FREAKS MUST
SUCK YOUR COCK AND JUST DIE UNDER YOUR BLOWS!


IT'S TIME FOR THE FINAL MASSACRE, THE WRONGEST ONE
OF ALL, RATHER, THE MOST INCLUSIVE, BECAUSE ON
GREZZODUE 2 EVERYONE DIES THE SAME HORRIBLE WAY
AND WE ALL HATE EVERYONE EQUALLY!",ST_CLUSTER15_EXIT,,"E NVECE SORPRESA, L PULMINO DE LE SORE E' ARIVETO A ASSISI MA LE
STRADE EN PIENE DE GENTE CHE SCOPA PER TERRA COME LE BESTIE E CHE SE
INCULANO TRA DE LORO!
CHE PUTTANAIO INFERNALE! E STI GRAN CAZZI ANCHE!

POTREBB ESSE TUTTO BULISSIMO MA NON LO E':
NESSUNO SA' PIU' CHI CAZZO E' DENTRO A STO CIRCO E QUELLO CHE GLI
PIACE DAVERO. TUTTI TE ODIANO PERCHE' SE L PIU' NORMALE DI LI' N MEZZO!

STI FENOMENI DA BARACCONE MODERNI DEVONO SOLO SUCCHIATTE LA FAVA
E CREPA' SOTTO AI TU COLPI!




E' L MOMENTO DEL MASSACRO FINALE, QUELLO PIU' SCORRETTO DE TUTTI,
ANZI, QUELLO PIU' INCLUSIVO, PERCHE' SU GREZZODUE 2 TUTTI MOIONO
ALLO STESSO MODO E CE STANNO ANCHE TUTTI SUL CAZZO UGUALE!","E INVECE SORPRESA, IL PULMINO DELLE SUORE E' ARRIVATO
AD ASSISI, MA LE STRADE SONO PIENE DI GENTE CHE SCOPA
PER TERRA, SI ACCOPPIA COME LE BESTIE E SI INCULA TRA
DI LORO!
CHE PUTTANAIO INFERNALE! E STI GRAN CAZZI ANCHE!

POTREBBE ESSERE TUTTO MOLTO BELLO, MA NON LO E':
NESSUNO SA' PIU' CHI CAZZO E' DENTRO A STO CIRCO E
QUELLO CHE GLI PIACE DAVVERO. TUTTI TI ODIANO PERCHE'
LI' IN MEZZO SEI TU QUELLO PIU' NORMALE!

TUTTI STI FENOMENI DA BARACCONE MODERNI DEVONO SOLO
SUCCHIARTI L UCCELLO E CREPARE SOTTO I TUOI COLPI!


E' IL MOMENTO DEL MASSACRO FINALE, QUELLO PIU' SCORRETTO
DI TUTTI, ANZI, QUELLO PIU' INCLUSIVO, PERCHE' SU
GREZZODUE 2 TUTTI MUOIONO MALE UGUALE E CE STANNO TUTTI
SUL CAZZO ALLO STESSO MODO!","Y A CAMBIO SORPRESA, EL BUS DE LAS MONJAS HA LLEGADO
A ASÍS, PERO LAS CALLES ESTÁN LLENAS DE GENTE FOLLANDO
POR LOS SUELOS, APAREANDOSE CÓMO BESTIAS Y DANDOSE POR CULO
ENTRE ELLOS!
QUE PUTERÍO INFERNAL! Y QUE?
PODRÍA SER TODO MUY BONITO, PERO NO LO ES:
YA NADIE SABE QUIEN COÑO ES DENTRO A ESTE CIRCO Y
LO QUE LE GUSTA DE VERDAD. TODOS TE ODIAN PORQUÉ
AHI EN MEDIO TÚ ERES EL MÁS NORMAL!

TODOS ESTOS FENOMENOS DE CIRCO MODERNOS TIENEN SÓLO
QUE CHUPARTE EL NABO Y PALMARLA BAJO TUS BALAS!


ES EL MOMENTO DE LA MASACRE FINAL, LA MÁS SUCIA
DE TODAS, ADEMÁS, LA MÁS INCLUSIVA, PORQUÉ EN
GREZZODUE 2 TODOS MUEREN IGUAL DE MAL Y NOS CAEN
DEL CULO DE LA MISMA MANERA!"
"GREZZODUE 2 ENDS RIGHT HERE AND RIGHT NOW.

PAPA RATZINGHER DIED ON NEW YEAR'S EVE WHILE 
WE WERE REMOVING THE BACKGROUND FROM HIS IMAGES TO MAKE A VIDEO
JUST FOR LAUGHS,SO WE DECIDED THAT'S ENOUGH!

BUT IF YOU FEEL SOMEONE IS A SLIMY LITTLE SHIT OR A TWINKLE-TOAD
COCKSUCKER AND YOU WANT TO GET HIM OR HER IN GREZZODUE 2 BECAUSE
YOU WANT TO SHOOT HIM-HER, WRITE TO US AND WE'LL PUT THE FUCKER
IN THE GAME! 

IF YOU LIKED GREZZODUE 2 AND WANT TO SUPPORT OUR BULLSHIT,
DONATE SOMETHING ON OUR ITCH.IO PAGE!
WE WILL BRING YOU LUCK IN THE FUTURE! OR BUY
THE BOXED DELUXE EDITIONS OF OUR GAMES: YOU WILL
REGRET THAT FOR SURE! 

TAKE A LOOK AT WWW.GIOCHIPENOSI.IT AND BE WELL!",ST_CLUSTER16_EXIT,,"GREZZODUE 2 FINISCE TU QUI!

L PAPA RATZINGER E' SCHIOPPETO A CAPODANNO MENTRE LO STAVAMO
A SCONTORNA' PER FACCE N VIDEO PER RIDE, QUINDI AVEMO DECISO
CHE BASTA!

MA SE QUALCUNO TE STA SUL CAZZO E LO VOI METTE DENTRO AL GIOCHINO
PERCHE' GLIE VOI SPARA' ANCHE TU, SCRIVICE E CE LO FICCAMO DENTRO!

SE GREZZODUE 2 T'E' PIACIUTO E VUOI SUPPORTA' LE STRONZATE CHE FAMO
DONACE QUALCOSA TA LA NOSTRA PAGINA SU ITCH.IO! TE PORTEREMO UN
SACCO CULO PER IL FUTURO! O COMPRA LE EDIZIONI DELUXE INSCATOLATE
DEI NOSTRI GIOCHI: TE NE PENTIRAI SICURO!

FATTE N GIRO SUL SITO WWW.GIOCHIPENOSI.IT E STACCE BENE!

","GREZZODUE 2 FINISCE QUI.

IL PAPA RATZINGHER E' MORTO A CAPODANNO MENTRE LO
STAVAMO SCONTORNANDO PER FARCI UN VIDEO PER RIDERE,
QUINDI ABBIAMO DECISO CHE BASTA!

MA SE QUALCUNO TI STA' SUL CAZZO E VUOI METTERLO DENTRO
A GREZZODUE 2 PERCHE' VUOI SPARARGLI PURE TU, SCRIVICI
E LO METTEREMO NEL GIOCO!

SE GREZZODUE 2 TI E' PIACIUTO E VUOI SUPPORTARE LE STRONZATE
CHE FACCIAMO, DONACI QUALCOSA SULLA NOSTRA PAGINA ITCH.IO!
TI PORTEREMO UN SACCO DI CULO PER IL FUTURO! O COMPRA LE
EDIZIONI DELUXE INSCATOLATE DEI NOSTRI GIOCHI : TE NE
PENTIRAI SICURO!


FATTI UN GIRO SUL SITO WWW.GIOCHIPENOSI.IT E STACCI BENE!","GREZZODUE 2 SE ACABA AQUÍ.

EL PAPA RATZINGHER HA MUERTO EN NOCHEVIEJA MIENTRAS LO
ESTABAMOS RECORTANDO PARA HACER UN VIDEO DA COÑA,
ENTONCES HEMOS DECIDIDO QUE YA ESTÁ!

PERO SI ALGUIEN TE PONE ENFERMO Y QUIERES METERLE DENTRO
A GREZZODUE 2 PORQUÉ QUIERES TISPARARLE TU TAMBIEN, ESCRIBENOS
Y LO PONDREMOS EN EL JUEGO!

SI TE HA GUSTADO GREZZODUE 2 Y QUIERES APOYAR LAS CHORRADAS
QUE HACEMOS, DONA ALGO EN NUESTRA PAGINA ITCH.IO!
TE TRAEREMOS UN MONTÓN DE SUERTE PARA EL FUTURO! O COMPRA LAS
EDICIONES FISICAS DELUXE DE NUESTROS JUEGOS : TE
ARREPENTIRÁS POR CIERTO!


DATE UNA VUELTA EN EL SITIO WWW.GIOCHIPENOSI.IT Y CUIDATE!"
,,,,,
- PRESS CTRL TO KNEEL DOWN OR SWIM,ST_SPA01_HM1,,- PIGIA CTRL PER ABBASSATTE E NUOTA'!,- PREMI CTRL PER ABBASSARTI O NUOTARE,- PRESIONA CTRL PARA AGACHARTE O NADAR
- PRESS E TO OPEN THE DOORS,ST_SPA01_HM2,,- PIGIA E PER APRI' LE PORTE!,- PREMI E PER APRIRE LE PORTE,- PRESIONA E PARA ABRIR LAS PUERTAS
